Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
1/2 inch sleeved pex tubing 400 FEET,UPONOR,UF1091500,1/2X400 PRE SLVED AQUAPEX BLUE
A1202HS Gold - 10',SUP,SUPA1202HS10GOLD,"HALF SLOT 1-5/8"" X 1-5/8"" X 3-1/4"" BACK/BACK STRUT 12GA 10' GOLD"
"4"" Rigid Strut Clamp - Gold",SUP,SUP7024,"GOLD 4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [25/BX]"
"3"" Rigid Strut Clamp - Gold",SUP,SUP7023,"GOLD 3"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
"2"" Rigid Strut Clamp - Gold",SUP,SUP7022,"GOLD 2"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
P2073A - Gold,SUP,SUPAP235SQ,GOLD SQUARE DOUBLE STRUT POST BASE W/ CHANNEL SQUARED TO THE PLATE
"1/2""x5"" Powers Wedge Anchor - Plated",POWERS,POWERS7424SD1,"POWER STUD+ 1/2"" X 5-1/2"" WEDGE ANCHOR [50/150]"
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1BULK,"HEX HEAD BOLT 1/2-13 X 1"" C/S CAP SCREW ZINC PLATED [600/KEG]"
"1/2"" Strut Nut - Plated",UNISTRUT,UNISTRUTP3010EG,"1/2"" THICK STRUT SILVER NUT SPRINGLESS [100/BX]"
"1/2"" Cut Washer - Plated",CWA,CWA1/2USSZINCPKG,"CUT FLAT WASHER 1/2"" USS ZINC PLATED [WFB1008] [100/PK] [600/CS]"
"1/2"" Square Washer - Gold",UNISTRUT,UNISTRUTP1064ZD,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
Sil Foam,SEI,SEISILL55,"SILL SEAL 5-1/2"" X 50FT X 3/16"" ROLL SHELTERSEAL POLYETHYLENE FOAM"
"2"" 10mil Tape",SHURTAPE,SHURTAPE104779,"PW 100 BPT 10 MIL 2"" X 33.3YD PIPE CORROSION RESISTANT PVC PRINTED"
Duct Tape,SHURTAPE,SHURTAPE105454,"PC 609 SILVER 2"" X 60YD DUCK PRO GRADE 10 MIL DUCT TAPE [48MM X 55M]"
"3/4"" Rigid Strut Clamp - Gold",SUP,SUP7023/4,"GOLD 3/4"" RIGID PIPE CLAMP STRUT TUBING STRAP   [100/BX]"
A1200 Gold - 10',SUP,SUPA120010GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 10' GOLD CHANNEL"
A1843 Gold,UNISTRUT,UNISTRUTP1546ZD,GOLD 2-HOLE 45 DEGREE OUTSIDE ANGLE FITTING BRACKET YELLOW ZINC
"1/2"" Square Washer  - Gold",SUP,SUPAB2411/2,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
P1873 Gold,SUP,SUPAB263,GOLD FLAT 5-HOLE CORNER GUSSET PLATE YELLOW ZINC FITTING [10/BX]
"1/2""x1"" Cap Screw - Plated",HHC,HHC1/2X1BULK,"HEX HEAD BOLT 1/2-13 X 1"" C/S CAP SCREW ZINC PLATED [600/KEG]"
"1/2""x5"" Powers Wedge Anchor - Plated",POWERS,POWERS7424SD1,"POWER STUD+ 1/2"" X 5-1/2"" WEDGE ANCHOR [50/150]"
"1/2"" Cut Washer - Plated",CWA,CWA1/2USSZINCPKG,"CUT FLAT WASHER 1/2"" USS ZINC PLATED [WFB1008] [100/PK] [600/CS]"
